开始时间,结束时间,字幕内容,字幕颜色
0:09:01.98,0:09:02.55,Nangong Jingnu: Mn.,#FF7D40
0:09:02.98,0:09:04.82,Nangong Sunu: It’s not wrong to value sentiment and friendship,,
0:09:05.15,0:09:06.79,but servants are servants.,
0:09:07.07,0:09:08.33,The inferior does not move the superior.,
0:09:09.20,0:09:11.46,The Princess estate is a small court as well.,
0:09:11.86,0:09:14.05,Once you dismiss a servant, they are dismissed.,
0:09:14.99,0:09:16.28,Though a loyal servant is hard to come by,,
0:09:16.63,0:09:19.51,you’re better off not having one that doesn’t know what’s good for her.,
0:09:19.99,0:09:22.39,Nangong Jingnu: But I wasn’t sure that Chuntao did it.,#FF7D40
0:09:22.77,0:09:24.78,I might have wronged her.,#FF7D40
0:09:25.27,0:09:26.32,Nangong Sunu: Wronged?,
0:09:27.16,0:09:28.64,If you say she did it,,
0:09:28.64,0:09:30.08,that means she’s done it, no matter the case!,
0:09:31.11,0:09:32.61,You’re too young to understand.,
0:09:32.98,0:09:34.50,As a stewardess,,
0:09:34.50,0:09:36.61,she was being willfully ignorant!,
0:09:37.36,0:09:39.75,Oh you, you are too soft-hearted,,
0:09:39.85,0:09:42.04,that’s why those sly servants have complete control over you.,
0:09:43.42,0:09:44.52,This was a good thing.,
0:09:45.01,0:09:47.72,It’s a reminder for the other servants in the estate,
0:09:48.41,0:09:51.31,not to forget who is the true master.,
0:09:53.59,0:09:54.32,Nangong Sunu: Well?,
0:09:54.96,0:09:55.80,Do you not understand?,
0:09:59.00,0:10:00.26,Nangong Jingnu: I think I do,,#FF7D40
0:10:00.62,0:10:01.92,but I’m not sure.,#FF7D40
0:10:02.61,0:10:03.93,Nangong Sunu: What about you, er-mei?,
0:10:04.40,0:10:07.30,Nangong Shunu: Mm, I understand a little.,
0:10:07.93,0:10:09.67,Nangong Sunu: What is a true loyal servant?,
0:10:10.56,0:10:12.12,Even if the master is wrong,,
0:10:12.12,0:10:14.03,so what if she must carry the blame?,
0:10:14.96,0:10:17.06,When it comes down to it, it is your word that counts in the Princess estate.,
0:10:17.48,0:10:18.86,Even if there was a mistake,,
